x i1 i2 i3 i4 i5 i6 i7 i8
0.000000 0.000000 -0.000001 -0.000002 -0.000003 -0.000004 -0.000005 -0.000006 -0.000007
0.010000 0.000000 -0.000001 -0.000001 -0.000002 -0.000003 -0.000003 -0.000004 -0.000005
0.020000 0.000000 0.000000 0.000000 0.000000 -0.000001 -0.000001 -0.000001 -0.000001
0.030000 0.000000 0.000001 0.000001 0.000002 0.000002 0.000003 0.000003 0.000004
0.040000 0.000000 0.000002 0.000003 0.000005 0.000006 0.000008 0.000010 0.000011
0.050000 0.000000 0.000003 0.000006 0.000009 0.000012 0.000016 0.000019 0.000022
0.060000 0.000000 0.000005 0.000010 0.000016 0.000021 0.000026 0.000031 0.000037
0.070000 0.000000 0.000008 0.000016 0.000024 0.000032 0.000041 0.000049 0.000057
0.080000 0.000000 0.000012 0.000024 0.000036 0.000048 0.000061 0.000073 0.000086
0.090000 0.000000 0.000017 0.000034 0.000052 0.000070 0.000088 0.000106 0.000124
0.100000 0.000000 0.000023 0.000047 0.000072 0.000097 0.000122 0.000147 0.000173
0.110000 0.000000 0.000030 0.000063 0.000096 0.000130 0.000165 0.000199 0.000234
0.120000 0.000000 0.000038 0.000081 0.000125 0.000170 0.000215 0.000261 0.000307
0.130000 0.000000 0.000047 0.000101 0.000157 0.000214 0.000271 0.000330 0.000388
0.140000 0.000000 0.000056 0.000121 0.000189 0.000259 0.000330 0.000402 0.000474
0.150000 0.000000 0.000064 0.000140 0.000220 0.000303 0.000387 0.000473 0.000559
0.160000 0.000000 0.000071 0.000157 0.000248 0.000343 0.000439 0.000538 0.000637
0.170000 0.000000 0.000077 0.000172 0.000272 0.000377 0.000484 0.000594 0.000705
0.180000 0.000000 0.000082 0.000183 0.000291 0.000404 0.000520 0.000639 0.000760
0.190000 0.000000 0.000085 0.000191 0.000306 0.000425 0.000549 0.000675 0.000803
0.200000 0.000000 0.000088 0.000198 0.000317 0.000441 0.000570 0.000701 0.000835
0.210000 0.000000 0.000090 0.000203 0.000325 0.000453 0.000585 0.000721 0.000859
0.220000 0.000000 0.000091 0.000206 0.000330 0.000461 0.000596 0.000735 0.000876
0.230000 0.000000 0.000092 0.000208 0.000334 0.000467 0.000604 0.000744 0.000888
0.240000 0.000000 0.000093 0.000210 0.000337 0.000471 0.000609 0.000751 0.000896
0.250000 0.000000 0.000093 0.000211 0.000339 0.000473 0.000613 0.000756 0.000902
0.260000 0.000000 0.000093 0.000212 0.000340 0.000475 0.000615 0.000759 0.000906
0.270000 0.000000 0.000094 0.000212 0.000341 0.000477 0.000617 0.000762 0.000909
0.280000 0.000000 0.000094 0.000212 0.000342 0.000478 0.000619 0.000763 0.000911
0.290000 0.000000 0.000094 0.000213 0.000342 0.000478 0.000619 0.000764 0.000913
0.300000 0.000000 0.000094 0.000213 0.000342 0.000479 0.000620 0.000765 0.000913
0.310000 0.000000 0.000094 0.000213 0.000343 0.000479 0.000621 0.000766 0.000914
0.320000 0.000000 0.000094 0.000213 0.000343 0.000479 0.000621 0.000766 0.000915
0.330000 0.000000 0.000094 0.000213 0.000343 0.000480 0.000621 0.000767 0.000915
0.340000 0.000000 0.000094 0.000213 0.000343 0.000480 0.000621 0.000767 0.000915
0.350000 0.000000 0.000094 0.000213 0.000343 0.000480 0.000622 0.000767 0.000916
0.360000 0.000000 0.000094 0.000213 0.000343 0.000480 0.000622 0.000767 0.000916
0.370000 0.000000 0.000094 0.000213 0.000343 0.000480 0.000622 0.000767 0.000916
0.380000 0.000000 0.000094 0.000214 0.000343 0.000480 0.000622 0.000767 0.000916
0.390000 0.000000 0.000094 0.000214 0.000343 0.000480 0.000622 0.000768 0.000916
0.400000 0.000000 0.000094 0.000214 0.000344 0.000480 0.000622 0.000768 0.000917
