x i1 i2 i3 i4 i5 i6
0.00 0.000000 -0.000010 -0.000020 -0.000030 -0.000040 -0.000049
0.01 0.000000 -0.000006 -0.000013 -0.000019 -0.000026 -0.000032
0.02 0.000000 -0.000001 -0.000003 -0.000004 -0.000006 -0.000007
0.03 0.000000 0.000006 0.000012 0.000017 0.000023 0.000029
0.04 0.000000 0.000016 0.000033 0.000049 0.000065 0.000082
0.05 0.000000 0.000031 0.000063 0.000094 0.000125 0.000157
0.06 0.000000 0.000053 0.000106 0.000158 0.000211 0.000263
0.07 0.000000 0.000082 0.000165 0.000248 0.000330 0.000412
0.08 0.000000 0.000123 0.000248 0.000372 0.000495 0.000616
0.09 0.000000 0.000178 0.000359 0.000539 0.000716 0.000891
0.10 0.000000 0.000249 0.000504 0.000756 0.001004 0.001248
0.11 0.000000 0.000339 0.000687 0.001031 0.001368 0.001697
0.12 0.000000 0.000445 0.000908 0.001362 0.001806 0.002237
0.13 0.000000 0.000566 0.001159 0.001742 0.002309 0.002857
0.14 0.000000 0.000694 0.001431 0.002155 0.002857 0.003534
0.15 0.000000 0.000822 0.001706 0.002576 0.003420 0.004233
0.16 0.000000 0.000940 0.001967 0.002982 0.003966 0.004916
0.17 0.000000 0.001044 0.002200 0.003349 0.004466 0.005546
0.18 0.000000 0.001130 0.002397 0.003662 0.004899 0.006098
0.19 0.000000 0.001197 0.002554 0.003917 0.005256 0.006557
0.20 0.000000 0.001248 0.002675 0.004116 0.005536 0.006923
0.21 0.000000 0.001285 0.002765 0.004265 0.005750 0.007203
0.22 0.000000 0.001312 0.002830 0.004375 0.005907 0.007411
0.23 0.000000 0.001331 0.002877 0.004453 0.006020 0.007562
0.24 0.000000 0.001345 0.002910 0.004509 0.006101 0.007670
0.25 0.000000 0.001354 0.002933 0.004547 0.006157 0.007746
0.26 0.000000 0.001361 0.002949 0.004574 0.006197 0.007799
0.27 0.000000 0.001365 0.002960 0.004593 0.006224 0.007836
0.28 0.000000 0.001368 0.002968 0.004606 0.006243 0.007861
0.29 0.000000 0.001370 0.002973 0.004615 0.006256 0.007879
0.30 0.000000 0.001372 0.002977 0.004622 0.006266 0.007892
0.31 0.000000 0.001373 0.002980 0.004626 0.006273 0.007901
0.32 0.000000 0.001374 0.002982 0.004630 0.006277 0.007907
0.33 0.000000 0.001374 0.002983 0.004632 0.006281 0.007912
0.34 0.000000 0.001375 0.002984 0.004634 0.006284 0.007916
0.35 0.000000 0.001375 0.002985 0.004636 0.006286 0.007918
0.36 0.000000 0.001376 0.002986 0.004637 0.006287 0.007921
0.37 0.000000 0.001376 0.002986 0.004638 0.006289 0.007922
0.38 0.000000 0.001376 0.002987 0.004639 0.006290 0.007924
0.39 0.000000 0.001376 0.002987 0.004640 0.006291 0.007925
0.40 0.000000 0.001377 0.002988 0.004640 0.006292 0.007927
0.41 0.000000 0.001377 0.002988 0.004641 0.006293 0.007928
0.42 0.000000 0.001377 0.002989 0.004642 0.006294 0.007929
0.43 0.000000 0.001377 0.002989 0.004642 0.006295 0.007930
0.44 0.000000 0.001377 0.002990 0.004643 0.006296 0.007931
0.45 0.000000 0.001378 0.002990 0.004644 0.006297 0.007933
0.46 0.000000 0.001378 0.002991 0.004644 0.006298 0.007934
0.47 0.000000 0.001378 0.002991 0.004645 0.006299 0.007935
0.48 0.000000 0.001378 0.002991 0.004646 0.006299 0.007936
0.49 0.000000 0.001378 0.002992 0.004646 0.006300 0.007937
0.50 0.000000 0.001379 0.002992 0.004647 0.006301 0.007938
0.51 0.000000 0.001379 0.002993 0.004647 0.006302 0.007939
0.52 0.000000 0.001379 0.002993 0.004648 0.006303 0.007940
0.53 0.000000 0.001379 0.002993 0.004649 0.006304 0.007941
0.54 0.000000 0.001379 0.002994 0.004649 0.006305 0.007942
0.55 0.000000 0.001379 0.002994 0.004650 0.006305 0.007943
0.56 0.000000 0.001380 0.002995 0.004651 0.006306 0.007944
0.57 0.000000 0.001380 0.002995 0.004651 0.006307 0.007946
0.58 0.000000 0.001380 0.002995 0.004652 0.006308 0.007947
0.59 0.000000 0.001380 0.002996 0.004653 0.006309 0.007948
0.60 0.000000 0.001380 0.002996 0.004653 0.006310 0.007949
0.61 0.000000 0.001381 0.002997 0.004654 0.006310 0.007950
0.62 0.000000 0.001381 0.002997 0.004654 0.006311 0.007951
0.63 0.000000 0.001381 0.002997 0.004655 0.006312 0.007952
0.64 0.000000 0.001381 0.002998 0.004656 0.006313 0.007953
0.65 0.000000 0.001381 0.002998 0.004656 0.006314 0.007954
0.66 0.000000 0.001382 0.002999 0.004657 0.006315 0.007955
0.67 0.000000 0.001382 0.002999 0.004658 0.006316 0.007956
0.68 0.000000 0.001382 0.002999 0.004658 0.006316 0.007957
0.69 0.000000 0.001382 0.003000 0.004659 0.006317 0.007958
0.70 0.000000 0.001382 0.003000 0.004659 0.006318 0.007960
0.71 0.000000 0.001382 0.003001 0.004660 0.006319 0.007961
0.72 0.000000 0.001383 0.003001 0.004661 0.006320 0.007962
0.73 0.000000 0.001383 0.003001 0.004661 0.006321 0.007963
0.74 0.000000 0.001383 0.003002 0.004662 0.006322 0.007964
0.75 0.000000 0.001383 0.003002 0.004663 0.006322 0.007965
0.76 0.000000 0.001383 0.003003 0.004663 0.006323 0.007966
0.77 0.000000 0.001384 0.003003 0.004664 0.006324 0.007967
0.78 0.000000 0.001384 0.003003 0.004664 0.006325 0.007968
0.79 0.000000 0.001384 0.003004 0.004665 0.006326 0.007969
0.80 0.000000 0.001384 0.003004 0.004666 0.006327 0.007970
0.81 0.000000 0.001384 0.003005 0.004666 0.006328 0.007971
0.82 0.000000 0.001385 0.003005 0.004667 0.006328 0.007972
0.83 0.000000 0.001385 0.003006 0.004668 0.006329 0.007974
0.84 0.000000 0.001385 0.003006 0.004668 0.006330 0.007975
0.85 0.000000 0.001385 0.003006 0.004669 0.006331 0.007976
0.86 0.000000 0.001385 0.003007 0.004670 0.006332 0.007977
0.87 0.000000 0.001385 0.003007 0.004670 0.006333 0.007978
0.88 0.000000 0.001386 0.003008 0.004671 0.006334 0.007979
0.89 0.000000 0.001386 0.003008 0.004671 0.006334 0.007980
0.90 0.000000 0.001386 0.003008 0.004672 0.006335 0.007981
0.91 0.000000 0.001386 0.003009 0.004673 0.006336 0.007982
0.92 0.000000 0.001386 0.003009 0.004673 0.006337 0.007983
0.93 0.000000 0.001387 0.003010 0.004674 0.006338 0.007984
0.94 0.000000 0.001387 0.003010 0.004675 0.006339 0.007985
0.95 0.000000 0.001387 0.003010 0.004675 0.006340 0.007986
0.96 0.000000 0.001387 0.003011 0.004676 0.006340 0.007987
0.97 0.000000 0.001387 0.003011 0.004676 0.006341 0.007989
0.98 0.000000 0.001388 0.003012 0.004677 0.006342 0.007990
0.99 0.000000 0.001388 0.003012 0.004678 0.006343 0.007991
1.00 0.000000 0.001388 0.003012 0.004678 0.006344 0.007992
1.01 0.000000 0.001388 0.003013 0.004679 0.006345 0.007993
1.02 0.000000 0.001388 0.003013 0.004680 0.006345 0.007994
1.03 0.000000 0.001388 0.003014 0.004680 0.006346 0.007995
1.04 0.000000 0.001389 0.003014 0.004681 0.006347 0.007996
1.05 0.000000 0.001389 0.003014 0.004681 0.006348 0.007997
1.06 0.000000 0.001389 0.003015 0.004682 0.006349 0.007998
1.07 0.000000 0.001389 0.003015 0.004683 0.006350 0.007999
1.08 0.000000 0.001389 0.003016 0.004683 0.006351 0.008000
1.09 0.000000 0.001390 0.003016 0.004684 0.006351 0.008001
1.10 0.000000 0.001390 0.003016 0.004685 0.006352 0.008003
1.11 0.000000 0.001390 0.003017 0.004685 0.006353 0.008004
1.12 0.000000 0.001390 0.003017 0.004686 0.006354 0.008005
1.13 0.000000 0.001390 0.003018 0.004687 0.006355 0.008006
1.14 0.000000 0.001390 0.003018 0.004687 0.006356 0.008007
1.15 0.000000 0.001391 0.003018 0.004688 0.006357 0.008008
1.16 0.000000 0.001391 0.003019 0.004688 0.006357 0.008009
1.17 0.000000 0.001391 0.003019 0.004689 0.006358 0.008010
1.18 0.000000 0.001391 0.003020 0.004690 0.006359 0.008011
1.19 0.000000 0.001391 0.003020 0.004690 0.006360 0.008012
1.20 0.000000 0.001392 0.003021 0.004691 0.006361 0.008013
1.21 0.000000 0.001392 0.003021 0.004692 0.006362 0.008014
1.22 0.000000 0.001392 0.003021 0.004692 0.006363 0.008015
1.23 0.000000 0.001392 0.003022 0.004693 0.006363 0.008017
1.24 0.000000 0.001392 0.003022 0.004693 0.006364 0.008018
1.25 0.000000 0.001393 0.003023 0.004694 0.006365 0.008019
1.26 0.000000 0.001393 0.003023 0.004695 0.006366 0.008020
1.27 0.000000 0.001393 0.003023 0.004695 0.006367 0.008021
1.28 0.000000 0.001393 0.003024 0.004696 0.006368 0.008022
1.29 0.000000 0.001393 0.003024 0.004697 0.006369 0.008023
1.30 0.000000 0.001393 0.003025 0.004697 0.006369 0.008024
1.31 0.000000 0.001394 0.003025 0.004698 0.006370 0.008025
1.32 0.000000 0.001394 0.003025 0.004698 0.006371 0.008026
1.33 0.000000 0.001394 0.003026 0.004699 0.006372 0.008027
1.34 0.000000 0.001394 0.003026 0.004700 0.006373 0.008028
1.35 0.000000 0.001394 0.003027 0.004700 0.006374 0.008029
1.36 0.000000 0.001395 0.003027 0.004701 0.006375 0.008031
1.37 0.000000 0.001395 0.003027 0.004702 0.006375 0.008032
1.38 0.000000 0.001395 0.003028 0.004702 0.006376 0.008033
1.39 0.000000 0.001395 0.003028 0.004703 0.006377 0.008034
1.40 0.000000 0.001395 0.003029 0.004704 0.006378 0.008035
1.41 0.000000 0.001396 0.003029 0.004704 0.006379 0.008036
1.42 0.000000 0.001396 0.003029 0.004705 0.006380 0.008037
1.43 0.000000 0.001396 0.003030 0.004705 0.006380 0.008038
1.44 0.000000 0.001396 0.003030 0.004706 0.006381 0.008039
1.45 0.000000 0.001396 0.003031 0.004707 0.006382 0.008040
1.46 0.000000 0.001396 0.003031 0.004707 0.006383 0.008041
1.47 0.000000 0.001397 0.003031 0.004708 0.006384 0.008042
1.48 0.000000 0.001397 0.003032 0.004709 0.006385 0.008043
1.49 0.000000 0.001397 0.003032 0.004709 0.006386 0.008044
1.50 0.000000 0.001397 0.003033 0.004710 0.006386 0.008046
1.51 0.000000 0.001397 0.003033 0.004710 0.006387 0.008047
1.52 0.000000 0.001398 0.003033 0.004711 0.006388 0.008048
1.53 0.000000 0.001398 0.003034 0.004712 0.006389 0.008049
1.54 0.000000 0.001398 0.003034 0.004712 0.006390 0.008050
1.55 0.000000 0.001398 0.003035 0.004713 0.006391 0.008051
1.56 0.000000 0.001398 0.003035 0.004714 0.006392 0.008052
1.57 0.000000 0.001399 0.003036 0.004714 0.006392 0.008053
1.58 0.000000 0.001399 0.003036 0.004715 0.006393 0.008054
1.59 0.000000 0.001399 0.003036 0.004715 0.006394 0.008055
1.60 0.000000 0.001399 0.003037 0.004716 0.006395 0.008056
1.61 0.000000 0.001399 0.003037 0.004717 0.006396 0.008057
1.62 0.000000 0.001399 0.003038 0.004717 0.006397 0.008058
1.63 0.000000 0.001400 0.003038 0.004718 0.006398 0.008060
1.64 0.000000 0.001400 0.003038 0.004719 0.006398 0.008061
1.65 0.000000 0.001400 0.003039 0.004719 0.006399 0.008062
1.66 0.000000 0.001400 0.003039 0.004720 0.006400 0.008063
1.67 0.000000 0.001400 0.003040 0.004721 0.006401 0.008064
1.68 0.000000 0.001401 0.003040 0.004721 0.006402 0.008065
1.69 0.000000 0.001401 0.003040 0.004722 0.006403 0.008066
1.70 0.000000 0.001401 0.003041 0.004722 0.006404 0.008067
1.71 0.000000 0.001401 0.003041 0.004723 0.006404 0.008068
