time	V(out)	V(n001)
0.000000000000000e+00	-1.305442e+01	9.999970e-02
9.142857249701465e-07	-1.305443e+01	7.239211e-02
1.828571449940293e-06	-1.305444e+01	4.486060e-02
2.742857174910440e-06	-1.305444e+01	1.740518e-02
3.657142899880586e-06	-1.305445e+01	-9.974167e-03
4.571428624850732e-06	-1.305446e+01	-3.727743e-02
5.485714349820879e-06	-1.305447e+01	-6.450462e-02
6.400000074791024e-06	-1.305448e+01	-9.165572e-02
1.128281257479102e-05	-1.305453e+01	-2.357872e-01
2.104843757479103e-05	-1.305463e+01	-5.188448e-01
3.081406257479102e-05	-1.305472e+01	-7.946860e-01
4.546250007479102e-05	-1.305485e+01	-1.195318e+00
6.708638400336246e-05	-1.305542e+01	-1.755102e+00
8.871026793193392e-05	-1.305566e+01	-2.287614e+00
1.103341518605054e-04	-1.305560e+01	-2.792853e+00
1.319580357890768e-04	-1.305522e+01	-3.270820e+00
1.535819197176483e-04	-1.305453e+01	-3.721515e+00
1.752058036462197e-04	-1.305353e+01	-4.144938e+00
1.968296875747911e-04	-1.305221e+01	-4.541088e+00
2.072928572176483e-04	-1.305141e+01	-4.726227e+00
2.177560268605054e-04	-1.304903e+01	-4.906521e+00
2.282191965033626e-04	-1.304506e+01	-5.081972e+00
2.386823661462197e-04	-1.303950e+01	-5.252578e+00
2.491455357890769e-04	-1.303235e+01	-5.418340e+00
2.596087054319340e-04	-1.302362e+01	-5.579258e+00
2.700718750747911e-04	-1.301330e+01	-5.735332e+00
2.798375000747912e-04	-1.299696e+01	-5.877057e+00
2.847203125747912e-04	-1.261155e+01	-5.946636e+00
2.847400576151354e-04	-1.223279e+01	-5.946896e+00
2.847412224035537e-04	-1.218567e+01	-5.946909e+00
2.847435519803903e-04	-1.207664e+01	-5.946937e+00
2.847482111340633e-04	-1.179172e+01	-5.946989e+00
2.847564252113068e-04	-1.104611e+01	-5.947068e+00
2.847674744946253e-04	-9.528848e+00	-5.947141e+00
2.847806800338548e-04	-7.060696e+00	-5.947162e+00
2.847956148697362e-04	-3.818973e+00	-5.947082e+00
2.848113881274457e-04	-2.725144e-01	-5.946873e+00
2.848271242632652e-04	3.297922e+00	-5.946531e+00
2.848453023806937e-04	7.515527e+00	-5.945971e+00
2.848651439305423e-04	1.221109e+01	-5.945211e+00
2.848668258160342e-04	1.258514e+01	-5.945132e+00
2.848691450185456e-04	1.293643e+01	-5.945023e+00
2.848718471317014e-04	1.307753e+01	-5.944894e+00
2.848743995055334e-04	1.306898e+01	-5.944773e+00
2.848772276642874e-04	1.305237e+01	-5.944640e+00
2.848801400252366e-04	1.305217e+01	-5.944504e+00
2.848854714209976e-04	1.305211e+01	-5.944256e+00
2.848961342125197e-04	1.305294e+01	-5.943766e+00
2.849143037112209e-04	1.305315e+01	-5.942933e+00
2.849384097340422e-04	1.305317e+01	-5.941830e+00
2.849677538068664e-04	1.305316e+01	-5.940489e+00
3.031491053792403e-04	1.305340e+01	-5.133780e+00
3.213304569516142e-04	1.305363e+01	-4.360851e+00
3.395118085239881e-04	1.305386e+01	-3.621700e+00
3.576931600963620e-04	1.305409e+01	-2.916329e+00
