time	IC1
0.000000000000000e+00	-9.999990e-04
3.896785733689156e-05	-8.424455e-04
7.793571467378312e-05	-6.905458e-04
1.169035720106747e-04	-5.442998e-04
1.558714293475662e-04	-4.037076e-04
1.948392866844578e-04	-2.687691e-04
2.338071440213494e-04	-1.394844e-04
2.727750013582408e-04	-1.585341e-05
3.020718763582409e-04	7.383042e-05
3.313687513582409e-04	1.606097e-04
3.606656263582409e-04	2.445383e-04
3.899625013582409e-04	3.256684e-04
4.192593763582410e-04	4.040509e-04
4.485562513582410e-04	4.797355e-04
5.071500013582410e-04	6.232028e-04
5.657437513582411e-04	7.564420e-04
6.243375013582411e-04	8.798068e-04
7.122281263582412e-04	1.047071e-03
8.001187513582413e-04	1.193941e-03
8.880093763582414e-04	1.321417e-03
9.759000013582415e-04	1.430436e-03
1.063790626358242e-03	1.521879e-03
1.160051787072527e-03	1.600546e-03
1.256312947786813e-03	1.662505e-03
1.352574108501099e-03	1.707755e-03
1.448835269215385e-03	1.736295e-03
1.545096429929671e-03	1.748127e-03
1.641357590643956e-03	1.743250e-03
1.737618751358242e-03	1.721664e-03
1.846435715643956e-03	1.680562e-03
1.955252679929670e-03	1.625887e-03
2.064069644215384e-03	1.557640e-03
2.172886608501097e-03	1.475821e-03
2.281703572786811e-03	1.380430e-03
2.390520537072525e-03	1.271466e-03
2.499337501358239e-03	1.148929e-03
2.583042858501096e-03	1.048864e-03
2.666748215643952e-03	9.446890e-04
2.750453572786808e-03	8.364035e-04
2.834158929929665e-03	7.240078e-04
2.917864287072522e-03	6.075018e-04
3.001569644215378e-03	4.868856e-04
3.085275001358235e-03	3.621591e-04
3.118757144215378e-03	3.119564e-04
3.152239287072520e-03	2.614647e-04
3.185721429929663e-03	2.106842e-04
3.219203572786805e-03	1.596148e-04
3.252685715643948e-03	1.082565e-04
3.286167858501091e-03	5.660930e-05
3.319650001358233e-03	4.673230e-06
3.378243751358233e-03	-8.651593e-05
3.436837501358233e-03	-1.784957e-04
3.495431251358232e-03	-2.703572e-04
3.554025001358232e-03	-3.621004e-04
3.612618751358231e-03	-4.537255e-04
3.671212501358231e-03	-5.452322e-04
3.729806251358231e-03	-6.366208e-04
3.788400001358230e-03	-7.278911e-04
3.897216965643945e-03	-8.969828e-04
4.006033929929660e-03	-1.060882e-03
4.114850894215375e-03	-1.219589e-03
4.223667858501090e-03	-1.373103e-03
4.332484822786805e-03	-1.521424e-03
4.441301787072520e-03	-1.664553e-03
4.550118751358235e-03	-1.802490e-03
4.608712501358235e-03	-1.872715e-03
4.667306251358236e-03	-1.940317e-03
4.725900001358236e-03	-2.005298e-03
4.784493751358237e-03	-2.067657e-03
4.843087501358237e-03	-2.127394e-03
4.901681251358238e-03	-2.184509e-03
4.960275001358238e-03	-2.239003e-03
4.989571876358239e-03	-2.265066e-03
5.018868751358239e-03	-2.290366e-03
5.048165626358239e-03	-2.314902e-03
5.077462501358239e-03	-2.338675e-03
5.106759376358239e-03	-2.361684e-03
5.136056251358240e-03	-2.383930e-03
5.165353126358240e-03	-2.405413e-03
5.249058483501098e-03	-2.462638e-03
5.332763840643955e-03	-2.512899e-03
5.416469197786813e-03	-2.556196e-03
5.500174554929672e-03	-2.592529e-03
5.583879912072529e-03	-2.621897e-03
5.667585269215387e-03	-2.644301e-03
5.751290626358245e-03	-2.659740e-03
5.897775001358246e-03	-2.668834e-03
5.943812947786817e-03	-2.667069e-03
5.989850894215390e-03	-2.663108e-03
6.035888840643961e-03	-2.656952e-03
6.081926787072534e-03	-2.648601e-03
6.127964733501105e-03	-2.638055e-03
6.174002679929677e-03	-2.625313e-03
6.220040626358249e-03	-2.610377e-03
6.324672322786821e-03	-2.567708e-03
6.429304019215393e-03	-2.514719e-03
6.533935715643965e-03	-2.451410e-03
6.638567412072538e-03	-2.377781e-03
6.743199108501110e-03	-2.293832e-03
6.847830804929683e-03	-2.199563e-03
6.952462501358255e-03	-2.094974e-03
7.078020537072542e-03	-1.956076e-03
7.203578572786829e-03	-1.807542e-03
7.329136608501115e-03	-1.649373e-03
7.454694644215402e-03	-1.481568e-03
7.580252679929689e-03	-1.304127e-03
7.705810715643975e-03	-1.117050e-03
7.831368751358262e-03	-9.203383e-04
7.898333037072547e-03	-8.139677e-04
7.965297322786830e-03	-7.066427e-04
8.032261608501115e-03	-5.983633e-04
8.099225894215399e-03	-4.891294e-04
8.166190179929684e-03	-3.789412e-04
8.233154465643967e-03	-2.677985e-04
8.300118751358252e-03	-1.557014e-04
8.505196876358248e-03	1.869470e-04
8.580531697786817e-03	3.130167e-04
8.655866519215388e-03	4.376921e-04
8.731201340643957e-03	5.609734e-04
8.806536162072527e-03	6.828604e-04
8.881870983501097e-03	8.033533e-04
8.957205804929667e-03	9.224519e-04
9.032540626358236e-03	1.040156e-03
9.128801787072521e-03	1.187479e-03
9.225062947786803e-03	1.329219e-03
9.321324108501087e-03	1.465378e-03
9.417585269215371e-03	1.595954e-03
9.513846429929656e-03	1.720950e-03
9.610107590643938e-03	1.840363e-03
9.706368751358222e-03	1.954194e-03
9.748221429929651e-03	2.001043e-03
9.790074108501077e-03	2.046433e-03
9.831926787072506e-03	2.090363e-03
9.873779465643932e-03	2.132833e-03
9.915632144215361e-03	2.173844e-03
9.957484822786787e-03	2.213395e-03
9.999337501358216e-03	2.251486e-03
1.004537544778679e-02	2.291581e-03
1.009141339421536e-02	2.329683e-03
1.013745134064393e-02	2.365793e-03
1.018348928707250e-02	2.399910e-03
1.022952723350107e-02	2.432035e-03
1.027556517992964e-02	2.462168e-03
1.032160312635821e-02	2.490308e-03
1.039275267992964e-02	2.529714e-03
1.046390223350106e-02	2.563924e-03
1.053505178707249e-02	2.592938e-03
1.060620134064392e-02	2.616757e-03
1.067735089421534e-02	2.635381e-03
1.074850044778677e-02	2.648808e-03
1.081965000135820e-02	2.657041e-03
1.085313214421534e-02	2.659026e-03
1.088661428707248e-02	2.659836e-03
1.092009642992963e-02	2.659469e-03
1.095357857278677e-02	2.657926e-03
1.098706071564391e-02	2.655207e-03
1.102054285850105e-02	2.651311e-03
1.105402500135819e-02	2.646240e-03
1.113773035850105e-02	2.628199e-03
1.122143571564390e-02	2.603120e-03
1.130514107278676e-02	2.571004e-03
1.138884642992962e-02	2.531850e-03
1.147255178707247e-02	2.485659e-03
1.155625714421533e-02	2.432430e-03
1.163996250135818e-02	2.372164e-03
1.177807634064389e-02	2.256060e-03
1.191619017992960e-02	2.125744e-03
1.205430401921532e-02	1.981217e-03
1.219241785850103e-02	1.822479e-03
1.233053169778674e-02	1.649529e-03
1.246864553707245e-02	1.462368e-03
1.260675937635816e-02	1.260997e-03
1.269465000135816e-02	1.128749e-03
1.278254062635816e-02	9.941073e-04
1.287043125135815e-02	8.570722e-04
1.295832187635815e-02	7.176435e-04
1.304621250135815e-02	5.758212e-04
1.313410312635815e-02	4.316052e-04
1.322199375135815e-02	2.849957e-04
1.339777500135814e-02	-8.234267e-06
1.344381294778671e-02	-8.532180e-05
1.348985089421528e-02	-1.621778e-04
1.353588884064385e-02	-2.388022e-04
1.358192678707243e-02	-3.151950e-04
1.362796473350100e-02	-3.913563e-04
1.367400267992957e-02	-4.672861e-04
1.372004062635814e-02	-5.429842e-04
1.382467232278671e-02	-7.146035e-04
1.392930401921528e-02	-8.813956e-04
1.403393571564384e-02	-1.043360e-03
1.413856741207241e-02	-1.200498e-03
1.424319910850098e-02	-1.352808e-03
1.434783080492955e-02	-1.500292e-03
1.445246250135812e-02	-1.642948e-03
1.451942678707241e-02	-1.729829e-03
1.458639107278669e-02	-1.813297e-03
1.465335535850097e-02	-1.893352e-03
1.472031964421526e-02	-1.969994e-03
1.478728392992954e-02	-2.043222e-03
1.485424821564383e-02	-2.113037e-03
1.492121250135811e-02	-2.179438e-03
1.495469464421525e-02	-2.211065e-03
1.498817678707240e-02	-2.241681e-03
1.502165892992954e-02	-2.271286e-03
1.505514107278668e-02	-2.299879e-03
1.508862321564382e-02	-2.327462e-03
1.512210535850096e-02	-2.354033e-03
1.515558750135811e-02	-2.379593e-03
1.523929285850096e-02	-2.439073e-03
1.532299821564382e-02	-2.491504e-03
1.540670357278667e-02	-2.536884e-03
1.549040892992953e-02	-2.575214e-03
1.557411428707239e-02	-2.606494e-03
1.565781964421524e-02	-2.630725e-03
1.574152500135810e-02	-2.647905e-03
1.588800937635811e-02	-2.659907e-03
1.592986205492954e-02	-2.659191e-03
1.597171473350097e-02	-2.656644e-03
1.601356741207240e-02	-2.652266e-03
1.605542009064383e-02	-2.646058e-03
1.609727276921526e-02	-2.638019e-03
1.613912544778669e-02	-2.628150e-03
1.618097812635812e-02	-2.616450e-03
1.628142455492955e-02	-2.580428e-03
1.638187098350098e-02	-2.534700e-03
1.648231741207241e-02	-2.479267e-03
1.658276384064385e-02	-2.414128e-03
1.668321026921528e-02	-2.339284e-03
1.678365669778671e-02	-2.254735e-03
1.688410312635814e-02	-2.160480e-03
1.700966116207243e-02	-2.029012e-03
1.713521919778672e-02	-1.887314e-03
1.726077723350102e-02	-1.735386e-03
1.738633526921531e-02	-1.573228e-03
1.751189330492960e-02	-1.400841e-03
1.763745134064389e-02	-1.218224e-03
1.776300937635818e-02	-1.025378e-03
1.783834419778675e-02	-9.074169e-04
1.791367901921533e-02	-7.881002e-04
1.798901384064390e-02	-6.674280e-04
1.806434866207247e-02	-5.454002e-04
1.813968348350105e-02	-4.220170e-04
1.821501830492962e-02	-2.972782e-04
1.829035312635820e-02	-1.711839e-04
