time	Vout
0.000000000000000e+00	0.000000e+00
2.742857239874347e-06	1.495126e-05
5.485714479748694e-06	5.903418e-05
8.228571719623041e-06	1.322487e-04
1.097142895949739e-05	2.345950e-04
1.371428619937173e-05	3.660728e-04
1.645714343924608e-05	5.266824e-04
1.920000067912042e-05	7.164236e-04
3.840000135824084e-05	2.707585e-03
6.769687635824084e-05	7.659153e-03
9.699375135824084e-05	1.490327e-02
1.262906263582408e-04	2.459044e-02
1.555875013582408e-04	3.664669e-02
1.848843763582408e-04	5.099928e-02
2.141812513582408e-04	6.757671e-02
2.434781263582408e-04	8.630859e-02
2.727750013582408e-04	1.071257e-01
3.020718763582409e-04	1.299600e-01
3.313687513582409e-04	1.547444e-01
3.606656263582409e-04	1.814130e-01
3.899625013582409e-04	2.099007e-01
4.192593763582410e-04	2.401436e-01
4.485562513582410e-04	2.720788e-01
4.778531263582410e-04	3.056443e-01
5.364468763582411e-04	3.774222e-01
5.950406263582411e-04	4.549994e-01
6.536343763582412e-04	5.379116e-01
7.415250013582413e-04	6.712995e-01
8.126745549296699e-04	7.880452e-01
8.838241085010986e-04	9.085338e-01
9.549736620725272e-04	1.032765e+00
1.026123215643956e-03	1.160740e+00
1.097272769215385e-03	1.292458e+00
1.168422322786813e-03	1.427918e+00
1.239571876358242e-03	1.567122e+00
1.344203572786813e-03	1.775990e+00
1.448835269215385e-03	1.981987e+00
1.553466965643956e-03	2.185115e+00
1.658098662072528e-03	2.385372e+00
1.762730358501099e-03	2.582760e+00
1.867362054929671e-03	2.777278e+00
1.971993751358242e-03	2.968926e+00
2.080810715643956e-03	3.158494e+00
2.189627679929669e-03	3.335007e+00
2.298444644215383e-03	3.498465e+00
2.407261608501097e-03	3.648868e+00
2.516078572786810e-03	3.786216e+00
2.624895537072524e-03	3.910509e+00
2.733712501358237e-03	4.021748e+00
2.804862054929665e-03	4.084319e+00
2.876011608501094e-03	4.139309e+00
2.947161162072521e-03	4.186718e+00
3.018310715643950e-03	4.226547e+00
3.089460269215378e-03	4.258795e+00
3.160609822786806e-03	4.283462e+00
3.231759376358234e-03	4.300549e+00
3.319650001358233e-03	4.310254e+00
3.348946876358233e-03	4.310768e+00
3.390799554929662e-03	4.309135e+00
3.432652233501090e-03	4.304703e+00
3.474504912072518e-03	4.297472e+00
3.516357590643946e-03	4.287442e+00
3.558210269215375e-03	4.274613e+00
3.600062947786803e-03	4.258985e+00
3.641915626358231e-03	4.240558e+00
3.738176787072517e-03	4.186934e+00
3.834437947786803e-03	4.119317e+00
3.930699108501089e-03	4.037709e+00
4.026960269215375e-03	3.942108e+00
4.123221429929661e-03	3.832516e+00
4.219482590643947e-03	3.708932e+00
4.315743751358233e-03	3.571357e+00
4.395263840643948e-03	3.447945e+00
4.474783929929663e-03	3.317002e+00
4.554304019215378e-03	3.178529e+00
4.633824108501093e-03	3.032525e+00
4.713344197786808e-03	2.878991e+00
4.792864287072523e-03	2.717926e+00
4.872384376358238e-03	2.549330e+00
4.910051787072524e-03	2.467584e+00
4.947719197786809e-03	2.384604e+00
4.985386608501096e-03	2.300390e+00
5.023054019215382e-03	2.214942e+00
5.060721429929668e-03	2.128261e+00
5.098388840643953e-03	2.040345e+00
5.136056251358240e-03	1.951195e+00
5.215576340643954e-03	1.758561e+00
5.295096429929670e-03	1.562869e+00
5.374616519215385e-03	1.364122e+00
5.454136608501099e-03	1.162318e+00
5.533656697786815e-03	9.574572e-01
5.613176787072530e-03	7.495402e-01
5.692696876358244e-03	5.385668e-01
5.897775001358246e-03	-6.914175e-03
5.943812947786817e-03	-1.298766e-01
5.989850894215390e-03	-2.524592e-01
6.035888840643961e-03	-3.746622e-01
6.081926787072534e-03	-4.964854e-01
6.127964733501105e-03	-6.179289e-01
6.174002679929677e-03	-7.389927e-01
6.220040626358249e-03	-8.596767e-01
6.324672322786821e-03	-1.133246e+00
6.429304019215393e-03	-1.399098e+00
6.533935715643965e-03	-1.657233e+00
6.638567412072538e-03	-1.907651e+00
6.743199108501110e-03	-2.150352e+00
6.847830804929683e-03	-2.385335e+00
6.952462501358255e-03	-2.612602e+00
7.078020537072542e-03	-2.870275e+00
7.203578572786829e-03	-3.106774e+00
7.329136608501115e-03	-3.322099e+00
7.454694644215402e-03	-3.516250e+00
7.580252679929689e-03	-3.689228e+00
7.705810715643975e-03	-3.841032e+00
7.831368751358262e-03	-3.971662e+00
7.898333037072547e-03	-4.029902e+00
7.965297322786830e-03	-4.080818e+00
8.032261608501115e-03	-4.124409e+00
8.099225894215399e-03	-4.160676e+00
8.166190179929684e-03	-4.189618e+00
8.233154465643967e-03	-4.211236e+00
8.300118751358252e-03	-4.225530e+00
8.329415626358251e-03	-4.229367e+00
8.358712501358251e-03	-4.231771e+00
8.388009376358250e-03	-4.232740e+00
8.417306251358250e-03	-4.232275e+00
8.446603126358249e-03	-4.230376e+00
8.475900001358248e-03	-4.227042e+00
8.505196876358248e-03	-4.222274e+00
8.580531697786817e-03	-4.203211e+00
8.655866519215388e-03	-4.174948e+00
8.731201340643957e-03	-4.137487e+00
8.806536162072527e-03	-4.090825e+00
8.881870983501097e-03	-4.034965e+00
8.957205804929667e-03	-3.969905e+00
9.032540626358236e-03	-3.895646e+00
9.128801787072521e-03	-3.787155e+00
9.225062947786803e-03	-3.666055e+00
9.321324108501087e-03	-3.532346e+00
9.417585269215371e-03	-3.386028e+00
9.513846429929656e-03	-3.227102e+00
9.610107590643938e-03	-3.055567e+00
9.706368751358222e-03	-2.871423e+00
9.748221429929651e-03	-2.788500e+00
9.790074108501077e-03	-2.703798e+00
9.831926787072506e-03	-2.617318e+00
9.873779465643932e-03	-2.529059e+00
9.915632144215361e-03	-2.439022e+00
9.957484822786787e-03	-2.347206e+00
9.999337501358216e-03	-2.253613e+00
1.004537544778679e-02	-2.148803e+00
1.009141339421536e-02	-2.042422e+00
1.013745134064393e-02	-1.934470e+00
1.018348928707250e-02	-1.824945e+00
1.022952723350107e-02	-1.713849e+00
1.027556517992964e-02	-1.601181e+00
1.032160312635821e-02	-1.486941e+00
1.039275267992964e-02	-1.307412e+00
1.046390223350106e-02	-1.126185e+00
1.053505178707249e-02	-9.432613e-01
1.060620134064392e-02	-7.586396e-01
1.067735089421534e-02	-5.723205e-01
1.074850044778677e-02	-3.843038e-01
1.081965000135820e-02	-1.945896e-01
1.085313214421534e-02	-1.054930e-01
1.088661428707248e-02	-1.644809e-02
1.092009642992963e-02	7.254510e-02
1.095357857278677e-02	1.614866e-01
1.098706071564391e-02	2.503764e-01
1.102054285850105e-02	3.392145e-01
1.105402500135819e-02	4.280009e-01
1.113773035850105e-02	6.502905e-01
1.122143571564390e-02	8.692948e-01
1.130514107278676e-02	1.085014e+00
1.138884642992962e-02	1.297448e+00
1.147255178707247e-02	1.506596e+00
1.155625714421533e-02	1.712459e+00
1.163996250135818e-02	1.915037e+00
1.177807634064389e-02	2.240144e+00
1.191619017992960e-02	2.543181e+00
1.205430401921532e-02	2.824150e+00
1.219241785850103e-02	3.083050e+00
1.233053169778674e-02	3.319880e+00
1.246864553707245e-02	3.534641e+00
1.260675937635816e-02	3.727333e+00
1.269465000135816e-02	3.832990e+00
1.278254062635816e-02	3.926360e+00
1.287043125135815e-02	4.007443e+00
1.295832187635815e-02	4.076240e+00
1.304621250135815e-02	4.132749e+00
1.313410312635815e-02	4.176971e+00
1.322199375135815e-02	4.208907e+00
1.339777500135814e-02	4.233256e+00
1.344381294778671e-02	4.231083e+00
1.348985089421528e-02	4.225390e+00
