Freq.	V(vo)	V(vo1)
1.00000000000000e+01	(-1.88904642179196e+02dB,-9.01346584649492e+01°)	(-1.88871780588510e+02dB,-9.04258666646163e+01°)
1.00230523807790e+01	(-1.88844642173062e+02dB,-9.01346796692141e+01°)	(-1.88811781323348e+02dB,-9.04252144252929e+01°)
1.00461579027839e+01	(-1.88784642166680e+02dB,-9.01347015875375e+01°)	(-1.88751782054530e+02dB,-9.04245644403771e+01°)
1.00693166885180e+01	(-1.88724642160048e+02dB,-9.01347242200356e+01°)	(-1.88691782782072e+02dB,-9.04239167063244e+01°)
1.00925288607668e+01	(-1.88664642153166e+02dB,-9.01347475668285e+01°)	(-1.88631783505988e+02dB,-9.04232712194615e+01°)
1.01157945425990e+01	(-1.88604642146036e+02dB,-9.01347716280398e+01°)	(-1.88571784226295e+02dB,-9.04226279766548e+01°)
1.01391138573668e+01	(-1.88544642138655e+02dB,-9.01347964037973e+01°)	(-1.88511784943008e+02dB,-9.04219869743403e+01°)
1.01624869287070e+01	(-1.88484642131024e+02dB,-9.01348218942323e+01°)	(-1.88451785656141e+02dB,-9.04213482092980e+01°)
1.01859138805412e+01	(-1.88424642123144e+02dB,-9.01348480994800e+01°)	(-1.88391786365711e+02dB,-9.04207116777362e+01°)
1.02093948370768e+01	(-1.88364642115013e+02dB,-9.01348750196792e+01°)	(-1.88331787071731e+02dB,-9.04200773768195e+01°)
1.02329299228075e+01	(-1.88304642106632e+02dB,-9.01349026549728e+01°)	(-1.88271787774218e+02dB,-9.04194453029220e+01°)
1.02565192625141e+01	(-1.88244642098001e+02dB,-9.01349310055073e+01°)	(-1.88211788473185e+02dB,-9.04188154524978e+01°)
1.02801629812647e+01	(-1.88184642089119e+02dB,-9.01349600714330e+01°)	(-1.88151789168648e+02dB,-9.04181878226217e+01°)
1.03038612044162e+01	(-1.88124642079985e+02dB,-9.01349898529041e+01°)	(-1.88091789860621e+02dB,-9.04175624095177e+01°)
1.03276140576140e+01	(-1.88064642070601e+02dB,-9.01350203500784e+01°)	(-1.88031790549120e+02dB,-9.04169392105759e+01°)
1.03514216667934e+01	(-1.88004642060966e+02dB,-9.01350515631177e+01°)	(-1.87971791234158e+02dB,-9.04163182215396e+01°)
1.03752841581801e+01	(-1.87944642051079e+02dB,-9.01350834921874e+01°)	(-1.87911791915751e+02dB,-9.04156994398984e+01°)
1.03992016582906e+01	(-1.87884642040940e+02dB,-9.01351161374570e+01°)	(-1.87851792593912e+02dB,-9.04150828619974e+01°)
1.04231742939330e+01	(-1.87824642030549e+02dB,-9.01351494990994e+01°)	(-1.87791793268656e+02dB,-9.04144684846464e+01°)
1.04472021922080e+01	(-1.87764642019906e+02dB,-9.01351835772916e+01°)	(-1.87731793939998e+02dB,-9.04138563046329e+01°)
1.04712854805090e+01	(-1.87704642009011e+02dB,-9.01352183722142e+01°)	(-1.87671794607951e+02dB,-9.04132463187619e+01°)
1.04954242865232e+01	(-1.87644641997864e+02dB,-9.01352538840518e+01°)	(-1.87611795272530e+02dB,-9.04126385234915e+01°)
1.05196187382322e+01	(-1.87584641986463e+02dB,-9.01352901129927e+01°)	(-1.87551795933749e+02dB,-9.04120329158988e+01°)
1.05438689639126e+01	(-1.87524641974809e+02dB,-9.01353270592289e+01°)	(-1.87491796591622e+02dB,-9.04114294927023e+01°)
1.05681750921366e+01	(-1.87464641962902e+02dB,-9.01353647229564e+01°)	(-1.87431797246163e+02dB,-9.04108282507145e+01°)
1.05925372517729e+01	(-1.87404641950742e+02dB,-9.01354031043749e+01°)	(-1.87371797897385e+02dB,-9.04102291868595e+01°)
1.06169555719872e+01	(-1.87344641938327e+02dB,-9.01354422036878e+01°)	(-1.87311798545303e+02dB,-9.04096322977760e+01°)
1.06414301822431e+01	(-1.87284641925659e+02dB,-9.01354820211025e+01°)	(-1.87251799189930e+02dB,-9.04090375803209e+01°)
1.06659612123026e+01	(-1.87224641912736e+02dB,-9.01355225568302e+01°)	(-1.87191799831280e+02dB,-9.04084450313635e+01°)
1.06905487922266e+01	(-1.87164641899558e+02dB,-9.01355638110857e+01°)	(-1.87131800469367e+02dB,-9.04078546478895e+01°)
1.07151930523761e+01	(-1.87104641886126e+02dB,-9.01356057840878e+01°)	(-1.87071801104204e+02dB,-9.04072664265645e+01°)
1.07398941234124e+01	(-1.87044641872438e+02dB,-9.01356484760591e+01°)	(-1.87011801735804e+02dB,-9.04066803643317e+01°)
1.07646521362983e+01	(-1.86984641858495e+02dB,-9.01356918872259e+01°)	(-1.86951802364182e+02dB,-9.04060964581905e+01°)
1.07894672222983e+01	(-1.86924641844296e+02dB,-9.01357360178184e+01°)	(-1.86891802989349e+02dB,-9.04055147049532e+01°)
1.08143395129794e+01	(-1.86864641829841e+02dB,-9.01357808680706e+01°)	(-1.86831803611320e+02dB,-9.04049351017487e+01°)
1.08392691402120e+01	(-1.86804641815130e+02dB,-9.01358264382203e+01°)	(-1.86771804230108e+02dB,-9.04043576451398e+01°)
1.08642562361706e+01	(-1.86744641800162e+02dB,-9.01358727285091e+01°)	(-1.86711804845725e+02dB,-9.04037823321532e+01°)
1.08893009333343e+01	(-1.86684641784937e+02dB,-9.01359197391825e+01°)	(-1.86651805458186e+02dB,-9.04032091600224e+01°)
1.09144033644875e+01	(-1.86624641769454e+02dB,-9.01359674704897e+01°)	(-1.86591806067502e+02dB,-9.04026381253743e+01°)
1.09395636627209e+01	(-1.86564641753714e+02dB,-9.01360159226839e+01°)	(-1.86531806673687e+02dB,-9.04020692253001e+01°)
1.09647819614318e+01	(-1.86504641737716e+02dB,-9.01360650960218e+01°)	(-1.86471807276754e+02dB,-9.04015024571016e+01°)
1.09900583943252e+01	(-1.86444641721459e+02dB,-9.01361149907644e+01°)	(-1.86411807876715e+02dB,-9.04009378172204e+01°)
1.10153930954141e+01	(-1.86384641704944e+02dB,-9.01361656071760e+01°)	(-1.86351808473584e+02dB,-9.04003753029771e+01°)
1.10407861990207e+01	(-1.86324641688170e+02dB,-9.01362169455251e+01°)	(-1.86291809067372e+02dB,-9.03998149113535e+01°)
1.10662378397766e+01	(-1.86264641671136e+02dB,-9.01362690060840e+01°)	(-1.86231809658092e+02dB,-9.03992566393619e+01°)
1.10917481526240e+01	(-1.86204641653843e+02dB,-9.01363217891286e+01°)	(-1.86171810245758e+02dB,-9.03987004841056e+01°)
1.11173172728159e+01	(-1.86144641636289e+02dB,-9.01363752949387e+01°)	(-1.86111810830381e+02dB,-9.03981464424262e+01°)
1.11429453359173e+01	(-1.86084641618475e+02dB,-9.01364295237982e+01°)	(-1.86051811411973e+02dB,-9.03975945116848e+01°)
1.11686324778056e+01	(-1.86024641600400e+02dB,-9.01364844759946e+01°)	(-1.85991811990548e+02dB,-9.03970446887697e+01°)
1.11943788346715e+01	(-1.85964641582064e+02dB,-9.01365401518191e+01°)	(-1.85931812566117e+02dB,-9.03964969707196e+01°)
1.12201845430196e+01	(-1.85904641563466e+02dB,-9.01365965515671e+01°)	(-1.85871813138693e+02dB,-9.03959513550033e+01°)
1.12460497396692e+01	(-1.85844641544606e+02dB,-9.01366536755375e+01°)	(-1.85811813708287e+02dB,-9.03954078383125e+01°)
1.12719745617551e+01	(-1.85784641525484e+02dB,-9.01367115240333e+01°)	(-1.85751814274913e+02dB,-9.03948664177194e+01°)
1.12979591467279e+01	(-1.85724641506099e+02dB,-9.01367700973611e+01°)	(-1.85691814838581e+02dB,-9.03943270907358e+01°)
1.13240036323555e+01	(-1.85664641486450e+02dB,-9.01368293958316e+01°)	(-1.85631815399304e+02dB,-9.03937898542565e+01°)
1.13501081567231e+01	(-1.85604641466538e+02dB,-9.01368894197591e+01°)	(-1.85571815957093e+02dB,-9.03932547053202e+01°)
1.13762728582343e+01	(-1.85544641446362e+02dB,-9.01369501694620e+01°)	(-1.85511816511961e+02dB,-9.03927216413738e+01°)
1.14024978756117e+01	(-1.85484641425921e+02dB,-9.01370116452623e+01°)	(-1.85451817063920e+02dB,-9.03921906597044e+01°)
1.14287833478977e+01	(-1.85424641405215e+02dB,-9.01370738474859e+01°)	(-1.85391817612980e+02dB,-9.03916617568554e+01°)
1.14551294144553e+01	(-1.85364641384244e+02dB,-9.01371367764627e+01°)	(-1.85331818159154e+02dB,-9.03911349306620e+01°)
1.14815362149688e+01	(-1.85304641363007e+02dB,-9.01372004325264e+01°)	(-1.85271818702453e+02dB,-9.03906101780230e+01°)
1.15080038894443e+01	(-1.85244641341504e+02dB,-9.01372648160145e+01°)	(-1.85211819242889e+02dB,-9.03900874963992e+01°)
1.15345325782109e+01	(-1.85184641319734e+02dB,-9.01373299272683e+01°)	(-1.85151819780473e+02dB,-9.03895668827360e+01°)
1.15611224219210e+01	(-1.85124641297696e+02dB,-9.01373957666330e+01°)	(-1.85091820315217e+02dB,-9.03890483341943e+01°)
1.15877735615512e+01	(-1.85064641275391e+02dB,-9.01374623344578e+01°)	(-1.85031820847131e+02dB,-9.03885318486051e+01°)
1.16144861384034e+01	(-1.85004641252818e+02dB,-9.01375296310956e+01°)	(-1.84971821376228e+02dB,-9.03880174225283e+01°)
1.16412602941049e+01	(-1.84944641229976e+02dB,-9.01375976569033e+01°)	(-1.84911821902518e+02dB,-9.03875050538446e+01°)
1.16680961706096e+01	(-1.84884641206866e+02dB,-9.01376664122415e+01°)	(-1.84851822426013e+02dB,-9.03869947393482e+01°)
1.16949939101987e+01	(-1.84824641183485e+02dB,-9.01377358974748e+01°)	(-1.84791822946723e+02dB,-9.03864864766387e+01°)
1.17219536554813e+01	(-1.84764641159834e+02dB,-9.01378061129716e+01°)	(-1.84731823464660e+02dB,-9.03859802628892e+01°)
1.17489755493953e+01	(-1.84704641135913e+02dB,-9.01378770591042e+01°)	(-1.84671823979835e+02dB,-9.03854760953181e+01°)
1.17760597352080e+01	(-1.84644641111721e+02dB,-9.01379487362487e+01°)	(-1.84611824492259e+02dB,-9.03849739716092e+01°)
1.18032063565173e+01	(-1.84584641087257e+02dB,-9.01380211447852e+01°)	(-1.84551825001942e+02dB,-9.03844738887277e+01°)
1.18304155572516e+01	(-1.84524641062521e+02dB,-9.01380942850977e+01°)	(-1.84491825508895e+02dB,-9.03839758442429e+01°)
1.18576874816716e+01	(-1.84464641037512e+02dB,-9.01381681575739e+01°)	(-1.84431826013129e+02dB,-9.03834798354594e+01°)
1.18850222743701e+01	(-1.84404641012230e+02dB,-9.01382427626056e+01°)	(-1.84371826514655e+02dB,-9.03829858598521e+01°)
1.19124200802737e+01	(-1.84344640986674e+02dB,-9.01383181005882e+01°)	(-1.84311827013484e+02dB,-9.03824939144364e+01°)
1.19398810446427e+01	(-1.84284640960844e+02dB,-9.01383941719212e+01°)	(-1.84251827509625e+02dB,-9.03820039969549e+01°)
1.19674053130724e+01	(-1.84224640934740e+02dB,-9.01384709770081e+01°)	(-1.84191828003090e+02dB,-9.03815161048250e+01°)
1.19949930314937e+01	(-1.84164640908359e+02dB,-9.01385485162559e+01°)	(-1.84131828493889e+02dB,-9.03810302350859e+01°)
1.20226443461741e+01	(-1.84104640881703e+02dB,-9.01386267900759e+01°)	(-1.84071828982032e+02dB,-9.03805463856646e+01°)
1.20503594037179e+01	(-1.84044640854771e+02dB,-9.01387057988831e+01°)	(-1.84011829467530e+02dB,-9.03800645536632e+01°)
1.20781383510678e+01	(-1.83984640827561e+02dB,-9.01387855430963e+01°)	(-1.83951829950393e+02dB,-9.03795847364534e+01°)
1.21059813355048e+01	(-1.83924640800074e+02dB,-9.01388660231385e+01°)	(-1.83891830430631e+02dB,-9.03791069319426e+01°)
1.21338885046497e+01	(-1.83864640772308e+02dB,-9.01389472394362e+01°)	(-1.83831830908254e+02dB,-9.03786311372020e+01°)
1.21618600064636e+01	(-1.83804640744264e+02dB,-9.01390291924202e+01°)	(-1.83771831383273e+02dB,-9.03781573498527e+01°)
1.21898959892486e+01	(-1.83744640715940e+02dB,-9.01391118825250e+01°)	(-1.83711831855698e+02dB,-9.03776855671868e+01°)
1.22179966016487e+01	(-1.83684640687336e+02dB,-9.01391953101889e+01°)	(-1.83651832325538e+02dB,-9.03772157870799e+01°)
1.22461619926504e+01	(-1.83624640658451e+02dB,-9.01392794758544e+01°)	(-1.83591832792805e+02dB,-9.03767480066504e+01°)
1.22743923115840e+01	(-1.83564640629286e+02dB,-9.01393643799677e+01°)	(-1.83531833257506e+02dB,-9.03762822237407e+01°)
1.23026877081238e+01	(-1.83504640599838e+02dB,-9.01394500229790e+01°)	(-1.83471833719653e+02dB,-9.03758184357070e+01°)
1.23310483322890e+01	(-1.83444640570108e+02dB,-9.01395364053424e+01°)	(-1.83411834179255e+02dB,-9.03753566400274e+01°)
1.23594743344450e+01	(-1.83384640540095e+02dB,-9.01396235275158e+01°)	(-1.83351834636322e+02dB,-9.03748968344613e+01°)
1.23879658653036e+01	(-1.83324640509798e+02dB,-9.01397113899612e+01°)	(-1.83291835090863e+02dB,-9.03744390164367e+01°)
1.24165230759240e+01	(-1.83264640479216e+02dB,-9.01397999931446e+01°)	(-1.83231835542889e+02dB,-9.03739831835693e+01°)
1.24451461177138e+01	(-1.83204640448350e+02dB,-9.01398893375356e+01°)	(-1.83171835992409e+02dB,-9.03735293333925e+01°)
1.24738351424294e+01	(-1.83144640417198e+02dB,-9.01399794236079e+01°)	(-1.83111836439432e+02dB,-9.03730774635253e+01°)
1.25025903021771e+01	(-1.83084640385759e+02dB,-9.01400702518393e+01°)	(-1.83051836883968e+02dB,-9.03726275715803e+01°)
1.25314117494141e+01	(-1.83024640354034e+02dB,-9.01401618227113e+01°)	(-1.82991837326026e+02dB,-9.03721796551976e+01°)
1.25602996369487e+01	(-1.82964640322021e+02dB,-9.01402541367095e+01°)	(-1.82931837765615e+02dB,-9.03717337119891e+01°)
1.25892541179416e+01	(-1.82904640289719e+02dB,-9.01403471943232e+01°)	(-1.82871838202746e+02dB,-9.03712897395450e+01°)
1.26182753459066e+01	(-1.82844640257129e+02dB,-9.01404409960460e+01°)	(-1.82811838637427e+02dB,-9.03708477356245e+01°)
1.26473634747114e+01	(-1.82784640224248e+02dB,-9.01405355423750e+01°)	(-1.82751839069668e+02dB,-9.03704076976781e+01°)
1.26765186585784e+01	(-1.82724640191078e+02dB,-9.01406308338118e+01°)	(-1.82691839499477e+02dB,-9.03699696235807e+01°)
1.27057410520853e+01	(-1.82664640157616e+02dB,-9.01407268708614e+01°)	(-1.82631839926863e+02dB,-9.03695335109989e+01°)
1.27350308101665e+01	(-1.82604640123862e+02dB,-9.01408236540331e+01°)	(-1.82571840351837e+02dB,-9.03690993574546e+01°)
1.27643880881134e+01	(-1.82544640089815e+02dB,-9.01409211838401e+01°)	(-1.82511840774406e+02dB,-9.03686671607668e+01°)
1.27938130415752e+01	(-1.82484640055476e+02dB,-9.01410194607995e+01°)	(-1.82451841194581e+02dB,-9.03682369186933e+01°)
1.28233058265601e+01	(-1.82424640020842e+02dB,-9.01411184854323e+01°)	(-1.82391841612368e+02dB,-9.03678086288664e+01°)
1.28528665994361e+01	(-1.82364639985913e+02dB,-9.01412182582636e+01°)	(-1.82331842027779e+02dB,-9.03673822889913e+01°)
1.28824955169313e+01	(-1.82304639950689e+02dB,-9.01413187798224e+01°)	(-1.82271842440820e+02dB,-9.03669578968704e+01°)
1.29121927361353e+01	(-1.82244639915169e+02dB,-9.01414200506416e+01°)	(-1.82211842851502e+02dB,-9.03665354501538e+01°)
1.29419584144998e+01	(-1.82184639879352e+02dB,-9.01415220712583e+01°)	(-1.82151843259833e+02dB,-9.03661149468202e+01°)
1.29717927098395e+01	(-1.82124639843237e+02dB,-9.01416248422134e+01°)	(-1.82091843665821e+02dB,-9.03656963844231e+01°)
1.30016957803328e+01	(-1.82064639806823e+02dB,-9.01417283640517e+01°)	(-1.82031844069475e+02dB,-9.03652797608171e+01°)
1.30316677845229e+01	(-1.82004639770111e+02dB,-9.01418326373222e+01°)	(-1.81971844470804e+02dB,-9.03648650738507e+01°)
1.30617088813183e+01	(-1.81944639733098e+02dB,-9.01419376625776e+01°)	(-1.81911844869816e+02dB,-9.03644523212076e+01°)
1.30918192299940e+01	(-1.81884639695784e+02dB,-9.01420434403750e+01°)	(-1.81851845266520e+02dB,-9.03640415008834e+01°)
1.31219989901920e+01	(-1.81824639658168e+02dB,-9.01421499712751e+01°)	(-1.81791845660924e+02dB,-9.03636326104929e+01°)
1.31522483219223e+01	(-1.81764639620251e+02dB,-9.01422572558427e+01°)	(-1.81731846053036e+02dB,-9.03632256480479e+01°)
1.31825673855640e+01	(-1.81704639582029e+02dB,-9.01423652946467e+01°)	(-1.81671846442864e+02dB,-9.03628206112500e+01°)
1.32129563418657e+01	(-1.81644639543504e+02dB,-9.01424740882600e+01°)	(-1.81611846830418e+02dB,-9.03624174980428e+01°)
1.32434153519466e+01	(-1.81584639504674e+02dB,-9.01425836372593e+01°)	(-1.81551847215705e+02dB,-9.03620163062295e+01°)
1.32739445772973e+01	(-1.81524639465538e+02dB,-9.01426939422256e+01°)	(-1.81491847598734e+02dB,-9.03616170336720e+01°)
1.33045441797808e+01	(-1.81464639426096e+02dB,-9.01428050037436e+01°)	(-1.81431847979511e+02dB,-9.03612196783072e+01°)
1.33352143216332e+01	(-1.81404639386346e+02dB,-9.01429168224022e+01°)	(-1.81371848358047e+02dB,-9.03608242381938e+01°)
1.33659551654643e+01	(-1.81344639346288e+02dB,-9.01430293987944e+01°)	(-1.81311848734348e+02dB,-9.03604307108127e+01°)
1.33967668742593e+01	(-1.81284639305921e+02dB,-9.01431427335169e+01°)	(-1.81251849108422e+02dB,-9.03600390945256e+01°)
1.34276496113785e+01	(-1.81224639265244e+02dB,-9.01432568271708e+01°)	(-1.81191849480278e+02dB,-9.03596493868271e+01°)
1.34586035405594e+01	(-1.81164639224256e+02dB,-9.01433716803609e+01°)	(-1.81131849849924e+02dB,-9.03592615860718e+01°)
1.34896288259164e+01	(-1.81104639182957e+02dB,-9.01434872936962e+01°)	(-1.81071850217366e+02dB,-9.03588756898788e+01°)
1.35207256319427e+01	(-1.81044639141345e+02dB,-9.01436036677897e+01°)	(-1.81011850582614e+02dB,-9.03584916964377e+01°)
1.35518941235103e+01	(-1.80984639099420e+02dB,-9.01437208032585e+01°)	(-1.80951850945675e+02dB,-9.03581096035001e+01°)
1.35831344658714e+01	(-1.80924639057180e+02dB,-9.01438387007236e+01°)	(-1.80891851306555e+02dB,-9.03577294092269e+01°)
